Date       | Author    | Version | Message
-----------|-----------|---------|--------------------------------------------------------------------------------
2007/01/16 | kpv       | 1.00    | Created
-----------|-----------|---------|--------------------------------------------------------------------------------
2007/01/30 | kpv       | 1.01    | Added ReportSender.
-----------|-----------|---------|--------------------------------------------------------------------------------
2007/01/30 | kpv       | 1.02    | Changed attempts counting. Tested.
-----------|-----------|---------|--------------------------------------------------------------------------------
2007/01/30 | kpv       | 1.03    | Changed confirmation & failedReport data.
-----------|-----------|---------|--------------------------------------------------------------------------------
2007/02/01 | kpv       | 1.04    | Realized PersistentCache.
-----------|-----------|---------|--------------------------------------------------------------------------------
2007/02/01 | kpv       | 1.05    | Changed attemts & usages counting.
-----------|-----------|---------|--------------------------------------------------------------------------------
           |           |         |
           |           |         |
           |           |         |

