Date       | Author    | Version | Message
-----------|-----------|---------|--------------------------------------------------------------------------------
2006/12/04 | danger    | 1.00    | Created
-----------|-----------|---------|--------------------------------------------------------------------------------
2007/01/09 | danger    | 1.01    | Changed to use PreparedStatemnets 
           |           |         | Added outgoing queue
-----------|-----------|---------|--------------------------------------------------------------------------------
2007/02/12 | danger    | 1.02    | Advertising engine moved into detached JVM
-----------|-----------|---------|--------------------------------------------------------------------------------
2007/02/16 | danger    | 1.03    | Fixed problem with thread pool config
-----------|-----------|---------|--------------------------------------------------------------------------------
2007/03/01 | danger    | 1.04    | Banner black list added
-----------|-----------|---------|--------------------------------------------------------------------------------
2007/03/23 | danger    | 1.05    | InBalance support added, negative balance responce pattern added
-----------|-----------|---------|--------------------------------------------------------------------------------
2007/11/30 | pasha     | 1.06    | State Machine
           |           |         |
           |           |         |
           |           |         |
           |           |         |
           |           |         |
           |           |         |
           |           |         |
           |           |         |
           |           |         |
           |           |         |
           |           |         |
           |           |         |
           |           |         |
           |           |         |
           |           |         |
           |           |         |
           |           |         |
           |           |         |
           |           |         |
           |           |         |
           |           |         |
           |           |         |
           |           |         |
           |           |         |
           |           |         |
           |           |         |
           |           |         |
           |           |         |
           |           |         |
           |           |         |
           |           |         |
           |           |         |
           |           |         |
           |           |         |
           |           |         |
           |           |         |
           |           |         |
           |           |         |
           |           |         |
           |           |         |
           |           |         |
           |           |         |
           |           |         |
           |           |         |
           |           |         |
           |           |         |
           |           |         |
           |           |         |

