Date       | Author    | Version | Message
-----------|-----------|---------|--------------------------------------------------------------------------------
2007/01/24 | danger    | 1.00    | Minsk version created
-----------|-----------|---------|--------------------------------------------------------------------------------
2007/02/12 | danger    | 1.01    | Advertising engine moved into detached JVM
-----------|-----------|---------|--------------------------------------------------------------------------------
2007/02/15 | danger    | 1.02    | Removed trim of abonent address in SQL query
-----------|-----------|---------|--------------------------------------------------------------------------------
2007/02/16 | danger    | 1.03    | Fixed some problems with threads
-----------|-----------|---------|--------------------------------------------------------------------------------
2007/05/25 | danger    | 1.04    | Fixed some problems connections
-----------|-----------|---------|--------------------------------------------------------------------------------
           |           |         |
           |           |         |
           |           |         |
           |           |         |
           |           |         |
           |           |         |
           |           |         |
           |           |         |
           |           |         |
           |           |         |
           |           |         |
           |           |         |
           |           |         |
           |           |         |
           |           |         |
           |           |         |
           |           |         |
           |           |         |
           |           |         |
           |           |         |
           |           |         |
           |           |         |
           |           |         |
           |           |         |
           |           |         |
           |           |         |
           |           |         |
           |           |         |
           |           |         |
           |           |         |
           |           |         |
           |           |         |
           |           |         |
           |           |         |
           |           |         |
           |           |         |
           |           |         |
           |           |         |
           |           |         |
           |           |         |
           |           |         |
           |           |         |
           |           |         |
           |           |         |
           |           |         |
           |           |         |
           |           |         |
           |           |         |
           |           |         |

