Date       | Author    | Version | Message
-----------|-----------|---------|--------------------------------------------------------------------------------
2005/10/03 | kpv       | 1.00    |
-----------|-----------|---------|--------------------------------------------------------------------------------
2006/02/01 | kpv       | 1.01    |
-----------|-----------|---------|--------------------------------------------------------------------------------
2006/07/11 | kpv       | 1.02    | Added email notification.
-----------|-----------|---------|--------------------------------------------------------------------------------
2006/07/12 | kpv       | 1.03    | Changed email notification text.
-----------|-----------|---------|--------------------------------------------------------------------------------
2007/07/03 | serge     | 1.04    | Check for empty email address, hex for binary messages in email.
-----------|-----------|---------|--------------------------------------------------------------------------------
2007/08/08 | serge     | 1.05    | USSD response for USSD request.
-----------|-----------|---------|--------------------------------------------------------------------------------
2007/09/11 | serge     | 1.06    | connection reusing now configurable
-----------|-----------|---------|--------------------------------------------------------------------------------
2007/11/16 | kpv       | 1.07    | Changed mail.jar (ver 1.4.1) & acivation.jar (1.1.1)
-----------|-----------|---------|--------------------------------------------------------------------------------
           |           |         |
