Date       | Author    | Version | Message
-----------|-----------|---------|--------------------------------------------------------------------------------

ATTENTION!!! From CVS branch "msag2-branch"

-----------|-----------|---------|--------------------------------------------------------------------------------
19.12.2014 | stepanov  |  1.0.0  | Version compatible with WebLogic 10.3.6 and Tomcat 1.7.
-----------|-----------|---------|--------------------------------------------------------------------------------
30.01.2015 | stepanov  |  1.0.1  | File for jedit 'applet' directory resolved relatively
           |           |         | "msag.console.config.dir" environment variable.
-----------|-----------|---------|--------------------------------------------------------------------------------
29.04.2015 | stepanov  |  1.0.2  | Correct Content-Type for style content/styles/styles.jsp
-----------|-----------|---------|--------------------------------------------------------------------------------
23.06.2015 | stepanov  |  1.0.3  | Removed "transitOptionalTags" flag from "MSAG Gateway/Configuration/SMPP" menu
           |           |         | section (bug 16366).
-----------|-----------|---------|--------------------------------------------------------------------------------
14.07.2015 | stepanov  |  1.0.4  | Added debug logs for logging.
           |           |         |
-----------|-----------|---------|--------------------------------------------------------------------------------
